"Frequency / Hz","Vm3:Measured voltage","Vm4:Measured voltage","Vm5:Measured voltage"
0,-5.7734372838069703e-11,-4.8913650907422834e-11,1.0668688155135442e-10
50,207.84609690818198,207.84609690832539,207.84609690827892
100,5.2190669107242022e-11,3.9149011018033267e-11,7.8346672033701572e-11
150,3.35078060234982e-11,2.5331396969403083e-10,2.7411678744835802e-10
200,4.8978241333416789e-11,9.3598650180275408e-11,1.3617760152419246e-10
250,2.1210158337571224e-10,2.5197359932990783e-10,1.9145084985265389e-10
300,8.6662465490653369e-11,2.3577012513924985e-10,1.8497414735745419e-10
350,7.9096007109577177e-11,1.3908676438918648e-11,8.0909427271399013e-11
400,1.5283884889620066e-10,9.5724019242791488e-11,1.9576163018787017e-10
450,7.9597060491618432e-11,7.6786383514481151e-11,1.3772093894462843e-11
500,1.129675083306355e-10,1.1600218469948322e-10,7.0973328756454302e-11
550,1.634073137693952e-10,2.4216839735021408e-10,1.4695747306370209e-10
600,2.1840175796880395e-10,2.0755812258340368e-10,1.0622751160531152e-10
650,1.7848804273358336e-10,1.3306395860852777e-10,5.3501391785654942e-11
700,8.6886115281151268e-11,8.6855505901199106e-11,1.2408290381292943e-10
750,1.5696217601494584e-10,2.9941776151509817e-10,1.8903526111908087e-10
800,3.9302393679549605e-11,1.9421059434293472e-10,1.604977269042418e-10
850,1.9481998493874587e-10,1.3290364281742458e-10,1.2747328688728797e-10
900,1.5934152572320069e-10,1.1117615231912456e-10,4.9199588262250081e-11
950,5.9383579647771249e-11,1.3239696961148345e-10,1.5669623505692105e-10
1000,7.4822169133335064e-11,8.5198457005674015e-11,5.3394829896536384e-11
1050,1.8612964530163847e-10,1.1214020652049752e-10,1.1722031917956532e-10
1100,2.370038249623164e-11,9.5305819739096426e-11,7.3375255953466539e-11
1150,1.343704292170887e-10,9.4673113379669415e-11,5.5021070675506337e-11
1200,1.2986322331905988e-10,1.7600768671154753e-10,1.7074279054135057e-10
1250,1.3214701765807595e-10,5.2686066964019814e-11,1.5120945946708068e-10
1300,1.65481826670674e-10,1.4589717072340878e-10,5.2592097212418784e-11
1350,1.4974505470552714e-10,4.2051008219055967e-11,1.1675744400814172e-10
1400,1.3101137821727244e-11,1.1894509499426814e-10,1.0730831670061544e-10
1450,1.9649445706698366e-10,2.7700569564922745e-10,2.8478284555973661e-10
1500,3.0283917479430671e-10,1.3254754710097475e-10,3.1352839224704075e-10
1550,2.0422899002501666e-10,1.2389978920550734e-10,1.9612626566410142e-10
1600,2.6338324418361663e-10,1.9089417955404559e-10,1.8194105501425503e-10
1650,5.6166440453698955e-11,1.2719555614879695e-10,8.4427412135033517e-11
1700,7.5361827059310052e-11,1.5512176503717924e-10,2.2247522403917915e-10
1750,7.0569031129990397e-11,9.6916118789451297e-11,1.4747267197516401e-10
