"Frequency / Hz","Vm3:Measured voltage","Vm4:Measured voltage","Vm5:Measured voltage"
0,-6.6308070145737474e-11,-4.8303953429732855e-12,7.1119036585779811e-11
50,346.41016151397878,346.4101615140313,346.41016151400044
100,2.5808815176658287e-10,8.8171747328057102e-11,1.827270228154561e-10
150,3.8682100640796212e-11,6.2359838323669223e-11,5.5045527173364735e-11
200,4.6069225564236272e-11,7.7420432104626903e-11,7.9299522885365048e-11
250,1.0089182208104393e-10,3.1849176893045141e-11,1.3262141603699857e-10
300,1.3096895940191136e-10,4.6799059645849454e-11,8.9123320032122682e-11
350,1.4757904166896945e-10,1.2443991164955399e-10,5.9446194830802603e-11
400,1.3784956023499956e-10,3.0212283978577817e-11,1.6530181835705488e-10
450,1.8296577897108244e-11,1.9615153280763901e-11,3.0432366188217343e-11
500,1.2492587015194383e-10,6.299428892505641e-11,7.3776945295909353e-11
550,9.6817567026131585e-11,1.7022053193348023e-10,9.3040444840692576e-11
600,8.7365978133800893e-11,1.7085704113969846e-10,1.0459982877024436e-10
650,1.2739788811785278e-10,1.1750442893698174e-10,1.4960202297035244e-10
700,1.8223967946428266e-10,1.7608843073747486e-10,2.405259784870779e-10
750,1.890070657767896e-10,2.3545952840026682e-10,1.4159462180212381e-10
800,1.314534260370521e-10,9.2965297965506985e-11,1.7540151391479703e-10
850,2.0386275500987713e-10,2.1770466522687993e-10,1.570756709121975e-11
900,2.407607762015184e-10,2.0074373958192437e-10,8.432374842277093e-11
950,1.4707227410791884e-10,1.4612920330563194e-10,1.9127753607457429e-11
1000,1.5461123223420759e-10,7.6268770063376329e-11,1.5690582634750301e-10
1050,1.2246216266116828e-10,1.0551087610259182e-10,1.8962630856085566e-10
1100,1.449479749437854e-10,9.7175094971115331e-11,6.4418010373389429e-11
1150,8.4255174498655668e-11,1.4408113783615913e-10,8.962827116161581e-11
1200,1.1420447673541183e-10,2.1895992550856376e-10,1.0499175406241661e-10
1250,8.1050147970040541e-11,4.8714463236504124e-11,8.7987985182246686e-11
1300,1.5174814933985116e-10,8.2735429139789253e-11,2.3225197012564484e-10
1350,3.06552584932308e-11,8.2061394574096603e-11,6.6192234735454803e-11
1400,1.0350950436343832e-10,2.0863155763856756e-10,1.0513681999034182e-10
1450,7.9463539066579467e-11,1.6571468691730754e-10,9.4569776011924806e-11
1500,1.1109259301036966e-10,1.7925999917040385e-10,7.8082307608020231e-11
1550,1.1123157267732519e-10,1.0584425576387498e-10,3.5276749694478325e-11
1600,1.442745545363958e-10,9.2905222383049351e-11,1.7785941809681413e-10
1650,2.5433490363919429e-10,1.679645282611606e-10,9.6735674697663468e-11
1700,5.7973893376546961e-11,1.1679211788010264e-10,1.3249975459625524e-10
1750,1.1591511860500071e-10,1.9586928825020119e-10,1.4117664661981565e-10
1800,1.2743308749629438e-10,1.0658366966079892e-10,9.8668091292375528e-11
1850,8.5589745323056539e-11,8.7183921791752077e-11,1.7209183476984343e-10
1900,6.1050460614984842e-11,7.6222866869405995e-11,5.3394521471996135e-11
1950,2.7905064521359268e-10,1.0158915207744675e-10,2.6430309531073949e-10
2000,1.4828874315304746e-10,2.2113369274423907e-11,1.6813632088045722e-10
2050,1.5400774624402151e-10,2.8862707950880871e-10,2.4744323708326757e-10
2100,1.8264224370191702e-10,6.5616430187724138e-11,2.3967336039229489e-10
2150,8.4401558891803873e-11,6.7766729924151158e-11,1.1771286134246034e-10
2200,3.9030820989791331e-10,1.972152381403203e-10,2.1690181959775012e-10
2250,2.5575638920301727e-10,1.9593603044148032e-10,6.5833825215998376e-11
