"Frequency / Hz","Vm3:Measured voltage","Vm4:Measured voltage","Vm5:Measured voltage"
0,-4.7087334031914452e-11,-6.0615401586971984e-11,1.0772494007937894e-10
50,207.84609690818962,207.84609690835069,207.8460969082862
100,6.3217593759408195e-11,6.3605205631982472e-11,1.0310204211496525e-10
150,4.7115408531735931e-11,2.3371411164431214e-10,2.6762748681311445e-10
200,4.2884057657169051e-11,9.5936274409131391e-11,1.3429784783721687e-10
250,1.73084175780384e-10,2.2813628254053005e-10,2.0977779187003968e-10
300,1.1711484846643883e-10,2.4938525095896283e-10,1.7911585347758506e-10
350,4.3572724846818617e-11,3.8936375822693531e-11,8.2321655128582136e-11
400,1.2883857005828398e-10,8.7740149371957428e-11,1.8876537823948313e-10
450,9.3131534677124207e-11,1.2203646843012539e-10,3.875488006174696e-11
500,1.0644969080081946e-10,1.0652066292014733e-10,7.7579468821869527e-11
550,1.4362186992018149e-10,1.8877990176016271e-10,1.0891441440901931e-10
600,2.0581059035104338e-10,2.0764297143913706e-10,1.0585194506049346e-10
650,1.6865322053334916e-10,1.6056750068273593e-10,1.9512844738502281e-11
700,6.6474050605408401e-11,1.0762737666697613e-10,1.2384608079410443e-10
750,1.4896892198510895e-10,2.817772953000659e-10,1.6855645476246398e-10
800,2.7340102693589574e-11,1.6050029610027192e-10,1.4127013639818799e-10
850,2.1364937736625627e-10,1.1246043920064391e-10,1.6668134757432271e-10
900,1.3947272568796265e-10,1.0615058972542239e-10,3.5728854560760051e-11
950,1.0196798889059468e-10,1.768325117112063e-10,1.7788930895734111e-10
1000,8.0926785910124853e-11,1.0117178675200521e-10,6.9638425987448543e-11
1050,1.6188294935152977e-10,8.489173742265758e-11,1.2827000580233121e-10
1100,3.0581478267644226e-11,1.2058052025773627e-10,9.7730265478134524e-11
1150,8.1030062087826264e-11,5.1043455448977626e-11,4.9389834406977222e-11
1200,1.0476063404279978e-10,1.4322501947468629e-10,1.6118631835830426e-10
1250,1.633026387361907e-10,6.5961770215001455e-11,1.6758756755286442e-10
1300,1.8360778203003575e-10,1.3788201634176732e-10,4.7777426189920833e-11
1350,1.2682618782714064e-10,3.0377750195241414e-11,1.0455785359139457e-10
1400,2.4313778084767574e-11,1.6221191111460192e-10,1.411488084870796e-10
1450,1.8446655390530827e-10,2.6994769968430556e-10,2.5235799482681543e-10
1500,3.33059957473309e-10,1.3860329767730722e-10,2.9761869560725389e-10
1550,1.9393744169784386e-10,1.5253730373985022e-10,1.9238974717505518e-10
1600,2.3888472551179718e-10,1.8645257134893338e-10,1.785603309279173e-10
1650,7.0810716999953205e-11,1.5751878949754623e-10,1.0868126408641035e-10
1700,7.1360749438490794e-11,1.3701332081910359e-10,2.0834127323143617e-10
1750,6.7890254135666062e-11,1.3576476357317782e-10,1.3231697097999904e-10
1800,8.1153802205657492e-11,5.0963265227439541e-11,6.5625451704825234e-11
1850,5.8297827035659744e-11,1.2657322239269437e-10,9.0201451162736645e-11
1900,1.5247667359548982e-10,2.5931410962678238e-10,1.8396962177075257e-10
1950,6.4584148450050672e-11,7.625190202685988e-11,1.2535814914035206e-10
2000,1.4454272688467947e-10,1.2682996647781484e-10,5.7641944792881645e-11
2050,2.7002928767989087e-10,1.452766401761315e-10,2.5723919631907444e-10
2100,9.3732168398106448e-11,1.0041883702017015e-10,1.7746719936108409e-10
2150,6.4782235432596822e-11,7.851794873946286e-11,4.7460292495486664e-11
2200,1.1680417290146278e-10,2.1986803460983317e-10,1.7107825681749623e-10
2250,2.0163615600593716e-10,1.2779510581094396e-10,2.2267826586585619e-10
2300,1.1868353894745116e-10,2.8706192492475658e-10,1.6839643398517538e-10
2350,1.0344004587775414e-10,1.3286630035154929e-10,2.3394878474677093e-10
2400,3.6914517046303834e-10,9.2620698935459926e-11,4.6175037409446325e-10
2450,1.8889145535700596e-10,8.4025289001711496e-11,1.2419633823294085e-10
2500,1.6835659613010111e-10,1.9535106971842448e-10,2.8054826102125056e-10
2550,2.0397623365256927e-10,1.0046988723236211e-10,1.7686360417546185e-10
2600,8.1598781253486302e-11,2.551456318429105e-10,2.4703678866579534e-10
2650,3.0556327669853209e-10,3.1661544075301569e-10,1.6858861318908776e-11
2700,1.3762745558761544e-10,1.6187663305426008e-10,3.7082352896578769e-11
2750,2.2415841116157833e-10,2.1434997838489028e-10,1.2751230599080918e-10
2800,7.1733582148105998e-11,1.3126507117865339e-10,8.2142895338702541e-11
2850,9.5019106678822228e-11,1.2370334863127249e-10,1.2508767807791547e-10
2900,1.158886880214858e-10,1.6712566443411682e-10,1.1167508201765082e-10
2950,7.7110412173747399e-11,6.875003933101479e-11,1.3097615385475971e-10
3000,1.3541873346557977e-10,7.0537146799555963e-11,8.8785788989695194e-11
3050,1.4690008749533776e-10,1.3112980164855649e-10,1.4026885316615339e-10
3100,1.9183868773253081e-10,4.7761998064554844e-11,1.5025406584756967e-10
3150,2.4174844810075696e-10,9.837609032072489e-11,2.0369747492300342e-10
3200,9.5766394720954035e-11,2.6140643160940557e-12,9.8052277067691514e-11
3250,2.054172173763072e-10,3.5691776942842759e-10,1.6320436640216132e-10
3300,1.1355306034757031e-10,1.3791422849051167e-10,2.4407526514604956e-11
3350,1.0684308528243659e-10,8.8313512541639547e-11,9.2151534420857857e-11
3400,7.2104315276664248e-11,1.5380684252594799e-10,2.1968984248236863e-10
3450,8.465623718428735e-11,4.5760609620435551e-11,1.0445128397521002e-10
3500,6.7106876805072745e-11,1.2012261765659343e-10,9.2582157991190433e-11
3550,2.2842664585172492e-10,1.1711956168272241e-10,3.2707713466672379e-10
3600,1.3854391163795442e-10,1.0709293712034816e-10,7.5973848884644083e-11
3650,7.5511306118277041e-11,1.0907483267667499e-10,3.6721218497928629e-11
3700,2.2858321606119456e-10,1.348394455783657e-10,1.1413368007913584e-10
3750,7.4746135994751661e-11,2.3119660730998984e-10,2.0046024023488862e-10
3800,1.0261946597330715e-10,8.8274559064140435e-11,7.9496068342726663e-11
3850,1.4031173692571866e-10,2.8377882689558905e-11,1.2229096602469465e-10
3900,8.1312600425188597e-11,4.6291402574178295e-11,4.2223148945277329e-11
3950,1.06236307961449e-10,1.0936425860310743e-10,1.12368375648662e-10
4000,1.5398771850187722e-10,1.2342088420907527e-10,8.0468894163525157e-11
4050,1.6672900719792047e-10,9.492495373274452e-11,1.3353205871191001e-10
4100,9.7652743047799543e-11,1.2915903092805425e-10,1.0236110977524191e-10
4150,1.5623437684228028e-10,5.9761156176736396e-11,1.0033769423642922e-10
4200,2.4147361145192459e-10,1.2394910850181757e-10,2.160943788591679e-10
4250,8.018588240899949e-11,3.1525979791484653e-11,1.1111484805215982e-10
4300,1.6818390734583219e-10,8.9942468371741809e-11,2.2485867956893023e-10
4350,8.6023443785041325e-11,9.4681564146186467e-11,3.7208470539714911e-11
4400,2.1913488727479905e-10,2.7513143437140714e-10,7.859789144278762e-11
4450,5.0710559139101876e-11,5.2304125720691681e-11,9.4885843066533309e-11
4500,6.4338104213234069e-08,6.4193029592943058e-08,6.4177850463670195e-08
4550,5.173713374439078e-11,8.7392466905363511e-11,1.0818760919200697e-10
4600,2.5952460789317887e-05,2.5952666165718855e-05,2.5952563844944298e-05
4650,6.8666890521949967e-11,1.1254906088503289e-10,1.5718059470852317e-10
4700,1.7423328298245908e-10,2.3339112043876248e-10,1.2195672427861103e-10
4750,7.2899925546925944e-11,6.5200653203519131e-11,6.8189678016630732e-11
4800,0.86674952376282066,0.86674952394029414,0.86674952386627979
4850,2.2300674869370078e-10,2.1911669348355468e-10,4.3605556173972593e-11
4900,45.44668178609502,45.446681786182637,45.446681786152801
4950,7.173775352044841e-11,1.6020607495953194e-10,9.448110208181519e-11
5000,3.1180851503258025e-10,3.5182801158066294e-10,2.7195724525385247e-10
5050,2.1034350030641158e-10,1.5428596227656352e-10,1.6126933458444293e-10
5100,45.446681786360571,45.446681786396056,45.446681786303742
5150,1.3291872244118773e-10,2.1285752313923544e-10,9.5646174380250484e-11
5200,0.8667495238968429,0.86674952379329018,0.86674952398358762
5250,9.8695505810154963e-11,5.7354371283572052e-11,1.2619260497375059e-10
5300,3.8220138155969896e-10,6.55563441840302e-11,3.9908219646833393e-10
5350,9.9767432200992984e-11,1.472369445667194e-10,6.3255242155701489e-11
5400,2.5952649522700312e-05,2.5952559430038242e-05,2.5952657061114375e-05
5450,1.165872459264356e-10,5.6772060555895085e-12,1.2055338497808734e-10
5500,6.4389885925956714e-08,6.4365023803435167e-08,6.4371308625058865e-08
5550,1.0180603054204224e-10,2.4151114492152213e-10,1.6781791189580198e-10
5600,2.2349307983754888e-10,9.6947889392426026e-11,2.0122866047942405e-10
5650,2.1272837229650562e-10,1.003057900517102e-10,1.1788421823554571e-10
5700,1.7517183011362958e-10,2.6329242840014625e-10,2.0275687622109086e-10
5750,8.7214611248135593e-11,4.5207735096471557e-11,5.1197751053341209e-11
5800,1.8598488839991672e-10,2.9012742251108815e-10,2.6844884283652168e-10
5850,1.8622899140218985e-10,2.2488025971502709e-11,1.6675849664143629e-10
5900,4.5776120206165086e-11,1.4120016337155085e-10,1.6681338970991703e-10
5950,2.8037493524970918e-10,6.1719360256998347e-11,3.3113954215108636e-10
6000,9.6350270664454627e-11,6.7898221888017827e-11,3.7404923347483712e-11
6050,8.0600080694696696e-11,1.13357804617875e-10,1.4321504494849953e-10
6100,1.3526711598727386e-10,1.7646078529507873e-10,1.7465389807323436e-10
6150,5.3835237098259792e-11,1.6519343177868058e-10,1.3585268147614751e-10
6200,1.1621586806630931e-10,2.4999804707987621e-10,2.1434607649328435e-10
6250,9.0126557842385665e-11,3.3726133364862208e-11,7.4495673418361139e-11
6300,1.2450101924584538e-10,1.2084456544595298e-10,1.9506630471629854e-10
6350,1.6200159244142183e-10,1.4266676748706766e-10,1.1200658000241785e-10
6400,2.9302633635927982e-10,1.9127579634835415e-10,3.1982001720444197e-10
6450,8.3230969440727766e-11,6.3141925147539113e-12,8.5496341324297054e-11
6500,1.0866308624382376e-10,1.632664256805411e-10,1.5849180294649369e-10
6550,2.6954381542516935e-10,1.9550889362985237e-10,2.3720779129898104e-10
